epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
9,13.6812,1.011,1.13232,1.12789,0.12792,0.65013,0.11929,0.05509,1.71989,20.8453,1.69731,0.00131248,0.00131248,0.00131248
10,15.0763,1.14306,1.242,1.18788,0.16757,0.42724,0.15346,0.08468,1.81659,13.9587,1.83709,0.00145719,0.00145719,0.00145719
11,16.4822,1.01967,1.27141,1.13188,0.07707,0.16942,0.09518,0.04664,1.7762,42.6722,1.92821,0.00160131,0.00160131,0.00160131
12,17.893,0.97049,1.31258,1.10396,0.15537,0.42084,0.07067,0.03033,2.28219,94.7349,4.79229,0.00163069,0.00163069,0.00163069
13,19.2835,1.04313,1.09053,1.13412,0.0766,0.20214,0.01798,0.0066,2.88964,81.5124,19.6407,0.00162739,0.00162739,0.00162739
14,20.6576,1.02313,0.97696,1.13682,0.00709,0.01992,0.00083,0.00039,2.5939,50.7805,3.08109,0.00162409,0.00162409,0.00162409
15,22.0288,0.93392,0.88514,1.06662,0.02896,0.03119,0.00312,0.00197,2.73672,11.3164,2.98798,0.00162079,0.00162079,0.00162079
16,23.5224,0.99545,0.88065,1.135,0.22837,0.0695,0.07401,0.02153,2.14898,38.2325,2.26635,0.00161749,0.00161749,0.00161749
17,24.9287,1.1464,1.01456,1.21677,0.17705,0.30429,0.20214,0.11406,1.77521,14.2174,1.81107,0.00161419,0.00161419,0.00161419
18,26.308,1.02658,0.94657,1.1433,0.2594,0.42084,0.29073,0.19635,2.08718,3.81695,1.96266,0.00161089,0.00161089,0.00161089
19,27.6963,0.90091,0.8368,1.05652,0.42742,0.68576,0.59103,0.36768,1.56158,2.33868,1.48225,0.00160759,0.00160759,0.00160759
20,29.0862,0.90943,0.81076,1.07028,0.30139,0.27721,0.25437,0.15343,2.59199,3.81441,2.32005,0.00160429,0.00160429,0.00160429
21,30.4975,0.96359,0.85527,1.08253,0.00197,0.2104,0.00142,0.00039,3.73593,14.0474,4.95025,0.00160099,0.00160099,0.00160099
22,31.8996,0.86816,0.79688,1.06075,0.01824,0.30892,0.01243,0.0059,2.25789,50.2716,2.87564,0.00159769,0.00159769,0.00159769
23,33.3792,0.88945,0.80908,1.07234,0.11413,0.23516,0.09593,0.0673,1.96806,123.027,2.83751,0.00159439,0.00159439,0.00159439
24,34.7757,0.88247,0.77256,1.06198,0.27715,0.62157,0.44059,0.27483,1.82013,3.12548,1.64625,0.00159108,0.00159108,0.00159108
25,36.1689,0.9954,0.88936,1.11585,0.29652,0.72115,0.52975,0.35521,1.54027,2.65455,1.45006,0.00158778,0.00158778,0.00158778
26,37.5497,0.90002,0.82282,1.08108,0.4632,0.7617,0.69333,0.47125,1.32512,1.59248,1.32643,0.00158448,0.00158448,0.00158448
27,39.0073,0.84398,0.76279,1.03385,0.54575,0.81318,0.79207,0.54333,1.17952,1.37537,1.20618,0.00158118,0.00158118,0.00158118
28,40.4708,0.86576,0.84002,1.07107,0.5776,0.8673,0.86053,0.61776,1.07684,1.27446,1.17799,0.00157788,0.00157788,0.00157788
29,41.9351,0.87413,0.82175,1.04293,0.4453,0.8906,0.83175,0.60397,1.09933,1.68766,1.18383,0.00157458,0.00157458,0.00157458
30,43.3942,0.91062,0.84046,1.05465,0.52405,0.84247,0.82543,0.58992,1.11751,1.20881,1.18245,0.00157128,0.00157128,0.00157128
31,44.7663,0.83529,0.77364,1.01754,0.52781,0.8906,0.88429,0.62494,1.04731,1.50238,1.15213,0.00156798,0.00156798,0.00156798
32,46.228,0.8167,0.79843,1.04173,0.74203,0.89287,0.86101,0.63148,1.00507,0.89182,1.12292,0.00156468,0.00156468,0.00156468
33,47.6723,0.90556,0.88781,1.05743,0.8752,0.86168,0.90139,0.63784,1.08514,0.8416,1.1696,0.00156138,0.00156138,0.00156138
34,49.125,0.86076,0.77326,1.01774,0.72799,0.85417,0.90566,0.64331,1.05635,1.18777,1.17277,0.00155808,0.00155808,0.00155808
35,50.5827,0.9003,0.84054,1.08503,0.61249,0.82909,0.93856,0.65457,1.07786,2.18446,1.18452,0.00155478,0.00155478,0.00155478
36,52.0391,0.90841,0.82851,1.06924,0.72625,0.86016,0.91351,0.66611,1.02367,1.20247,1.15916,0.00155148,0.00155148,0.00155148
37,53.5707,0.85079,0.75278,1.0156,0.61231,0.8541,0.87668,0.64011,1.11789,1.22817,1.20034,0.00154818,0.00154818,0.00154818
38,54.9514,0.89788,0.80846,1.09071,0.5782,0.88647,0.91072,0.64106,1.10138,1.3456,1.20209,0.00154488,0.00154488,0.00154488
39,56.3365,0.90929,0.8755,1.07461,0.53884,0.86768,0.83024,0.58263,1.15392,1.62584,1.18363,0.00154157,0.00154157,0.00154157
40,57.7366,0.94872,0.79579,1.09145,0.58383,0.78206,0.80479,0.58134,1.1159,1.32701,1.19525,0.00153827,0.00153827,0.00153827
41,59.1198,0.91925,0.80327,1.06999,0.57877,0.79349,0.77726,0.5954,1.03829,1.35109,1.16576,0.00153497,0.00153497,0.00153497
42,60.5035,0.83453,0.78874,1.05936,0.85988,0.51276,0.74342,0.59073,0.98922,1.52406,1.15336,0.00153167,0.00153167,0.00153167
43,61.8849,0.83089,0.71573,1.06053,0.59801,0.88403,0.89135,0.65948,1.07687,1.18894,1.17592,0.00152837,0.00152837,0.00152837
44,63.369,0.79032,0.69399,1.02543,0.64507,0.83005,0.88114,0.67773,0.99582,0.97761,1.13399,0.00152507,0.00152507,0.00152507
45,64.8196,0.83217,0.68577,1.04603,0.76482,0.90903,0.90607,0.68295,0.99707,0.83765,1.11869,0.00152177,0.00152177,0.00152177
46,66.274,0.78573,0.71771,1.02885,0.78974,0.92444,0.93698,0.7172,0.9392,0.87956,1.08922,0.00151847,0.00151847,0.00151847
47,67.7308,0.80754,0.64513,1.05063,0.86713,0.9031,0.95933,0.71543,0.99981,0.84219,1.10698,0.00151517,0.00151517,0.00151517
48,69.2015,0.82988,0.68621,1.05481,0.86228,0.90722,0.9422,0.70866,0.97767,0.79281,1.10044,0.00151187,0.00151187,0.00151187
49,70.5848,0.81102,0.64328,0.99914,0.83247,0.91316,0.93749,0.69536,1.0351,0.82786,1.12637,0.00150857,0.00150857,0.00150857
50,71.9627,0.7976,0.66942,1.01753,0.86374,0.92068,0.94427,0.72126,0.96488,0.80254,1.09858,0.00150527,0.00150527,0.00150527
51,73.5144,0.80617,0.68484,1.02632,0.88775,0.91875,0.95073,0.71763,0.95932,0.83808,1.09001,0.00150197,0.00150197,0.00150197
52,74.9073,0.79766,0.64964,1.02235,0.81042,0.92182,0.90411,0.6794,0.9542,0.77118,1.08275,0.00149867,0.00149867,0.00149867
53,76.291,0.79951,0.69283,1.01895,0.84035,0.90571,0.93474,0.71363,0.95591,0.72451,1.08091,0.00149537,0.00149537,0.00149537
